order_item_id,order_id,product_id,quantity,price,discount_amount
1,161,66,2,105.67,22.61
2,1426,45,3,45.42,9.92
3,3662,22,1,238.95,0.7
4,278,83,3,118.68,14.51
5,3392,138,2,49.99,26.5
6,1557,149,2,180.95,13.33
7,4593,17,4,153.93,29.66
8,1916,67,2,204.97,5.34
9,4751,7,1,249.04,10.53
10,3108,101,3,15.99,0.5
11,303,36,5,186.13,1.51
12,4534,67,2,247.34,10.63
13,2774,77,3,136.87,15.85
14,4282,158,4,180.35,7.11
15,3246,87,5,113.07,4.99
16,4769,199,4,92.41,12.62
17,1001,157,1,175.63,5.12
18,3835,72,4,247.08,18.93
19,4007,161,3,27.46,28.66
20,4779,59,5,108.42,24.2
21,1719,20,4,235.45,6.46
22,3831,157,4,32.64,28.53
23,3182,181,1,164.48,22.53
24,2883,129,3,110.39,4.65
25,999,162,4,97.34,17.38
26,285,172,3,56.31,28.99
27,421,109,2,48.2,2.9
28,2161,14,1,131.49,8.13
29,3066,165,1,97.47,11.22
30,2276,163,1,125.43,3.47
31,1495,187,3,53.0,8.98
32,3885,24,4,90.8,20.77
33,4624,193,4,249.12,14.32
34,2544,110,3,95.18,12.63
35,4127,134,3,106.11,12.96
36,4258,196,2,9.87,22.79
37,1842,38,5,98.3,29.74
38,4801,129,5,192.03,17.66
39,722,41,1,131.32,22.55
40,1402,31,4,165.98,11.18
41,446,36,1,141.36,25.82
42,2792,105,4,30.85,12.61
43,4523,182,4,86.38,28.05
44,3768,109,2,175.09,22.31
45,2552,31,3,139.25,21.22
46,1968,157,3,170.37,8.7
47,3889,113,3,93.24,23.88
48,4817,131,5,52.45,3.16
49,2732,186,3,208.3,16.14
50,2630,61,5,97.19,22.06
51,1965,6,1,165.48,26.51
52,1058,20,5,98.41,17.09
53,4832,111,4,232.18,7.75
54,758,61,2,248.03,25.47
55,1796,174,2,163.99,23.04
56,1644,141,4,152.53,4.61
57,4850,23,1,211.0,26.17
58,24,79,2,131.48,28.8
59,1240,31,4,218.03,16.13
60,4151,4,2,106.17,1.15
61,3098,118,5,12.81,27.47
62,1305,66,2,232.01,3.68
63,2543,144,5,181.77,18.99
64,3713,115,5,130.14,12.03
65,3956,31,2,236.5,29.76
66,4530,176,2,222.26,27.51
67,4304,123,5,31.56,23.54
68,4229,43,2,157.98,5.98
69,1306,4,1,136.84,20.98
70,4465,190,3,195.24,17.16
71,3175,48,3,78.69,4.06
72,3629,156,4,6.99,23.84
73,782,144,3,50.42,2.59
74,567,89,1,56.68,14.45
75,4623,126,3,76.4,12.8
76,4133,77,3,95.75,24.19
77,4274,197,1,178.11,12.83
78,639,158,5,23.19,20.83
79,3701,65,3,124.2,14.35
80,4168,69,4,127.17,17.46
81,2400,14,3,155.89,7.23
82,2671,75,3,81.08,6.07
83,1173,162,1,68.65,21.3
84,1721,184,1,123.55,3.67
85,105,29,4,166.6,5.28
86,1683,79,2,15.93,28.23
87,4317,153,1,76.93,7.6
88,1850,94,2,197.89,9.7
89,863,66,4,123.63,19.0
90,3446,115,3,238.2,13.21
91,2566,40,3,217.55,16.77
92,299,143,2,89.27,4.34
93,2909,32,4,182.94,20.17
94,4138,20,4,72.21,4.7
95,771,53,1,47.95,22.43
96,2540,195,2,220.85,15.71
97,1463,49,1,90.81,24.49
98,3855,195,2,54.84,5.18
99,3119,89,1,241.42,11.33
100,2133,82,1,12.6,25.4
101,1710,1,4,94.89,23.96
102,991,167,4,14.41,28.97
103,711,61,3,128.5,6.66
104,4305,183,3,103.29,16.17
105,39,197,4,181.56,0.54
106,1276,130,4,238.74,28.96
107,4858,94,1,132.32,5.25
108,1437,17,3,74.92,27.14
109,2994,157,4,218.68,20.35
110,1470,117,2,153.11,28.11
111,2100,106,2,140.6,7.45
112,374,132,3,51.2,10.35
113,4252,192,2,14.94,4.93
114,4026,85,1,118.04,12.67
115,1114,43,3,134.37,28.42
116,2727,76,4,36.14,17.13
117,2399,140,2,19.55,12.48
118,3235,50,1,57.94,9.75
119,1266,196,4,20.46,17.54
120,3124,61,5,18.75,21.7
121,654,104,1,113.82,12.2
122,4159,51,2,203.51,6.93
123,509,77,1,167.68,17.55
124,2340,98,5,171.46,10.97
125,3163,83,5,69.3,29.83
126,1688,78,1,7.72,13.23
127,1389,5,4,115.41,13.03
128,2198,156,4,97.4,25.18
129,3912,138,5,237.07,7.53
130,2929,88,3,22.64,1.98
131,4800,180,3,195.22,25.61
132,516,17,4,99.43,17.67
133,3659,65,3,208.26,7.8
134,1834,124,4,126.25,10.28
135,30,21,2,206.02,12.77
136,3215,182,4,119.38,20.41
137,326,111,2,103.46,14.05
138,3767,177,5,241.11,11.87
139,4112,107,3,95.37,23.41
140,111,22,5,202.3,2.16
141,107,69,1,21.42,19.58
142,2427,192,1,20.35,13.47
143,4379,36,5,112.34,10.05
144,4365,149,4,148.46,27.83
145,2532,184,4,154.09,23.34
146,3145,73,3,13.91,6.58
147,4694,91,5,175.7,19.57
148,799,176,1,36.83,24.67
149,2438,126,5,239.06,29.68
150,2012,146,5,86.72,20.95
151,426,99,3,69.05,20.72
152,3045,15,4,76.36,18.4
153,3289,44,1,234.65,1.2
154,2915,173,3,123.3,17.55
155,1240,97,1,111.5,24.15
156,3392,36,1,143.65,11.86
157,4214,168,4,233.04,17.61
158,3998,179,4,80.54,27.79
159,3007,30,3,49.3,5.16
160,3040,26,2,150.9,8.41
161,599,85,3,125.46,3.31
162,2088,101,3,20.18,15.01
163,1185,121,2,132.87,25.19
164,2751,31,1,142.79,13.06
165,2585,184,5,175.07,2.1
166,4760,189,2,248.91,7.91
167,3514,17,5,108.29,26.69
168,4746,98,1,130.0,16.73
169,4055,126,2,23.38,27.42
170,4384,24,4,208.74,25.03
171,3937,122,3,29.05,12.43
172,1700,132,2,233.79,19.01
173,4508,137,2,90.38,19.93
174,2576,130,1,87.71,22.4
175,136,163,4,85.51,9.99
176,2026,123,2,237.87,8.67
177,3536,38,4,245.13,20.54
178,4855,173,5,243.44,24.56
179,2891,143,2,177.67,12.43
180,2758,170,4,32.21,9.63
181,3774,131,3,99.66,24.77
182,381,159,1,75.88,20.61
183,1529,180,4,178.56,10.31
184,4902,169,1,125.7,15.89
185,4572,57,2,156.04,28.83
186,3629,42,2,7.14,22.5
